fixture_key,kickoff,locked_at,late,home_team,away_team,model_home,model_draw,model_away,market_home,market_draw,market_away,council_home,council_draw,council_away,consensus_score,actual_result,council_brier,council_rps,model_rps,market_rps
Brentford|Chelsea,Fri 18 Sep 19:00,2026-09-15T17:16+00:00,,Brentford,Chelsea,0.42,0.26,0.32,0.3354,0.2472,0.4174,0.38,0.25,0.37,0.38,,,,,
Tottenham|Aston Villa,2026-09-19T11:30+00:00,2026-09-15T18:07+00:00,,Tottenham,Aston Villa,0.37,0.27,0.36,,,,0.39,0.27,0.34,0.55,,,,,
